Year_Week,Donor_Segment,Party,Total_Donation
2021-W01,Large,DEM,720
2021-W01,Medium,DEM,178
2021-W01,Small,DEM,203
2021-W02,Large,DEM,335
2021-W02,Medium,DEM,63
2021-W02,Small,DEM,74
2021-W03,Large,DEM,836
2021-W03,Medium,DEM,92
2021-W03,Small,DEM,57
2021-W04,Large,DEM,44
2021-W04,Medium,DEM,185
2021-W04,Small,DEM,34
2021-W06,Large,DEM,50
2021-W07,Large,DEM,10
2021-W08,Large,DEM,10
2021-W08,Medium,DEM,48
2021-W08,Small,DEM,8
2021-W10,Large,DEM,50
2021-W12,Medium,DEM,48
2021-W12,Small,DEM,8
2021-W13,Large,REP,8700
2021-W14,Large,DEM,61
2021-W15,Large,DEM,552
2021-W15,Small,DEM,4
2021-W16,Large,DEM,21
2021-W16,Medium,DEM,108
2021-W16,Medium,REP,5800
2021-W16,Small,DEM,17
2021-W17,Large,DEM,76
2021-W17,Medium,DEM,57
2021-W17,Small,DEM,20
2021-W18,Small,DEM,17
2021-W19,Large,DEM,50
2021-W20,Large,DEM,505
2021-W20,Medium,DEM,73
2021-W20,Small,DEM,45
2021-W21,Small,DEM,8
2021-W23,Large,DEM,50
2021-W25,Large,DEM,5
2021-W25,Medium,DEM,48
2021-W25,Small,DEM,8
2021-W27,Large,DEM,50
2021-W29,Large,DEM,5
2021-W29,Medium,DEM,48
2021-W30,Small,DEM,8
2021-W32,Large,DEM,50
2021-W33,Medium,DEM,48
2021-W34,Large,DEM,5
2021-W34,Small,DEM,8
2021-W36,Large,DEM,50
2021-W38,Large,DEM,5
2021-W38,Medium,DEM,80
2021-W38,Small,DEM,8
2021-W41,Large,DEM,50
2021-W42,Large,DEM,5
2021-W42,Medium,DEM,80
2021-W43,Small,DEM,8
2021-W45,Large,DEM,50
2021-W47,Large,DEM,5
2021-W47,Medium,DEM,80
2021-W47,Small,DEM,8
2021-W49,Large,DEM,50
2021-W51,Large,DEM,1005
2021-W51,Medium,DEM,80
2021-W51,Small,DEM,8
2022-W01,Small,DEM,5
2022-W02,Large,DEM,50
2022-W02,Small,DEM,75
2022-W03,Large,DEM,5
2022-W03,Medium,DEM,48
2022-W04,Large,REP,100
2022-W04,Medium,DEM,32
2022-W04,Small,DEM,8
2022-W05,Large,DEM,50
2022-W06,Large,DEM,50
2022-W08,Large,DEM,5
2022-W08,Medium,DEM,80
2022-W08,Small,DEM,8
2022-W09,Large,REP,12900
2022-W10,Large,DEM,50
2022-W12,Large,DEM,5
2022-W12,Medium,DEM,80
2022-W12,Small,DEM,8
2022-W14,Large,DEM,162
2022-W14,Medium,DEM,15
2022-W14,Small,DEM,60
2022-W15,Large,DEM,50
2022-W16,Large,DEM,65
2022-W16,Medium,DEM,110
2022-W17,Small,DEM,8
2022-W19,Large,DEM,50
2022-W19,Small,DEM,30
2022-W20,Medium,DEM,80
2022-W21,Large,DEM,5
2022-W21,Large,REP,313
2022-W21,Medium,REP,365
2022-W21,Small,DEM,8
2022-W21,Small,REP,333
2022-W23,Large,DEM,50
2022-W25,Large,DEM,755
2022-W25,Medium,DEM,80
2022-W25,Small,DEM,35
2022-W29,Large,DEM,5
2022-W29,Medium,DEM,80
2022-W30,Small,DEM,8
2022-W31,Large,REP,1000
2022-W32,Large,DEM,2900
2022-W32,Large,REP,8700
2022-W34,Large,DEM,5
2022-W34,Medium,DEM,48
2022-W34,Small,DEM,8
2022-W38,Large,DEM,5
2022-W38,Medium,DEM,16
2022-W39,Small,DEM,8
2022-W39,Small,REP,1500
2022-W40,Large,DEM,500
2022-W40,Large,REP,250
2022-W42,Large,DEM,5705
2022-W42,Medium,DEM,16
2022-W43,Large,DEM,250
2022-W43,Large,REP,5350
2022-W43,Small,DEM,8
2022-W44,Large,DEM,2900
2022-W44,Medium,REP,50
2022-W45,Large,DEM,1000
2022-W45,Large,REP,2622
2022-W45,Medium,REP,2025
2022-W45,Small,REP,185
2022-W46,Large,DEM,5800
2022-W46,Large,REP,2065
2022-W46,Medium,DEM,300
2022-W46,Medium,REP,1720
2022-W46,Small,REP,6332
2022-W47,Large,REP,2008
2022-W47,Medium,DEM,16
2022-W47,Medium,REP,1250
2022-W47,Small,DEM,8
2022-W47,Small,REP,746
2022-W48,Large,REP,897
2022-W48,Medium,REP,1547
2022-W48,Small,DEM,2900
2022-W48,Small,REP,1485
2022-W49,Large,REP,3340
2022-W49,Medium,REP,1957
2022-W49,Small,REP,407
2022-W50,Large,DEM,17450
2022-W50,Large,REP,429
2022-W50,Medium,DEM,2050
2022-W50,Medium,REP,1065
2022-W50,Small,DEM,800
2022-W50,Small,REP,810
2022-W51,Large,DEM,7250
2022-W51,Large,REP,1714
2022-W51,Medium,DEM,1016
2022-W51,Medium,REP,1172
2022-W51,Small,DEM,500
2022-W51,Small,REP,739
2022-W52,Large,DEM,11138
2022-W52,Large,REP,2359
2022-W52,Medium,DEM,2936
2022-W52,Medium,REP,3293
2022-W52,Small,DEM,2532
2022-W52,Small,REP,2251
2023-W01,Large,DEM,110055
2023-W01,Large,REP,89540
2023-W01,Medium,DEM,30655
2023-W01,Medium,REP,36949
2023-W01,Small,DEM,18592
2023-W01,Small,REP,34629
2023-W02,Large,DEM,375684
2023-W02,Large,REP,78451
2023-W02,Medium,DEM,81689
2023-W02,Medium,REP,51235
2023-W02,Small,DEM,35458
2023-W02,Small,REP,29789
2023-W03,Large,DEM,318868
2023-W03,Large,REP,80676
2023-W03,Medium,DEM,52128
2023-W03,Medium,REP,29122
2023-W03,Small,DEM,24288
2023-W03,Small,REP,29313
2023-W04,Large,DEM,503455
2023-W04,Large,REP,89860
2023-W04,Medium,DEM,112530
2023-W04,Medium,REP,65456
2023-W04,Small,DEM,81750
2023-W04,Small,REP,30791
2023-W05,Large,DEM,507174
2023-W05,Large,REP,96444
2023-W05,Medium,DEM,107101
2023-W05,Medium,REP,64264
2023-W05,Small,DEM,53430
2023-W05,Small,REP,38078
2023-W06,Large,DEM,509151
2023-W06,Large,REP,143502
2023-W06,Medium,DEM,103273
2023-W06,Medium,REP,63200
2023-W06,Small,DEM,75092
2023-W06,Small,REP,164592
2023-W07,Large,DEM,588524
2023-W07,Large,REP,204911
2023-W07,Medium,DEM,136695
2023-W07,Medium,REP,65437
2023-W07,Small,DEM,53016
2023-W07,Small,REP,57927
2023-W08,Large,DEM,737794
2023-W08,Large,REP,307557
2023-W08,Medium,DEM,136798
2023-W08,Medium,REP,51460
2023-W08,Small,DEM,74721
2023-W08,Small,REP,157810
2023-W09,Large,DEM,923700
