Frequency,Segment,Metric,Value
Weekly,All,Dem Ratio Mean,4.156314149217531
Weekly,All,Dem Ratio Median,1.4118715451283366
Weekly,All,Rep Ratio Mean,3.433447559646305
Weekly,All,Rep Ratio Median,2.905381033690606
Weekly,All,Total Dem Donations,370997993.0
Weekly,All,Total Rep Donations,139679730.0
Weekly,Small,Dem Ratio Mean,4.339015505966843
Weekly,Small,Dem Ratio Median,1.688554986093862
Weekly,Small,Rep Ratio Mean,2.590831254757433
Weekly,Small,Rep Ratio Median,2.22258542319224
Weekly,Small,Total Dem Donations,40010995.0
Weekly,Small,Total Rep Donations,18490421.0
Weekly,Medium,Dem Ratio Mean,2.6840972361294666
Weekly,Medium,Dem Ratio Median,1.476534258816665
Weekly,Medium,Rep Ratio Mean,3.061111125446221
Weekly,Medium,Rep Ratio Median,2.7687889595643087
Weekly,Medium,Total Dem Donations,78914291.0
Weekly,Medium,Total Rep Donations,27239640.0
Weekly,Large,Dem Ratio Mean,2.395775872972459
Weekly,Large,Dem Ratio Median,1.382223584597036
Weekly,Large,Rep Ratio Mean,3.449804289999104
Weekly,Large,Rep Ratio Median,3.1613333333333333
Weekly,Large,Total Dem Donations,252072707.0
Weekly,Large,Total Rep Donations,93949669.0
Monthly,All,Dem Ratio Mean,4.5254928952562725
Monthly,All,Dem Ratio Median,1.4616833070590296
Monthly,All,Rep Ratio Mean,2.8230530566865677
Monthly,All,Rep Ratio Median,2.7351101950550607
Monthly,All,Total Dem Donations,370997993.0
Monthly,All,Total Rep Donations,139679730.0
Monthly,Small,Dem Ratio Mean,5.4306202260202765
Monthly,Small,Dem Ratio Median,1.5357928919625137
Monthly,Small,Rep Ratio Mean,2.4601878419389585
Monthly,Small,Rep Ratio Median,2.1966340497098376
Monthly,Small,Total Dem Donations,40010995.0
Monthly,Small,Total Rep Donations,18490421.0
Monthly,Medium,Dem Ratio Mean,2.628721326141129
Monthly,Medium,Dem Ratio Median,1.4068769953161047
Monthly,Medium,Rep Ratio Mean,2.9514198027524876
Monthly,Medium,Rep Ratio Median,2.738066736793919
Monthly,Medium,Total Dem Donations,78914291.0
Monthly,Medium,Total Rep Donations,27239640.0
Monthly,Large,Dem Ratio Mean,6.0191314976519505
Monthly,Large,Dem Ratio Median,1.389440631386527
Monthly,Large,Rep Ratio Mean,3.0442147982910366
Monthly,Large,Rep Ratio Median,2.8827045824457493
Monthly,Large,Total Dem Donations,252072707.0
Monthly,Large,Total Rep Donations,93949669.0
